Year;Attribut; Value ;;;;;;;;;
1820;Number of people not in extreme poverty (people); 117 436 202 ;;Somme de Value;Étiquettes de colonnes;;;;;;
1820;Number of people living in extreme poverty (people); 964 925 108 ;;Étiquettes de lignes;Number of people living in extreme poverty (people);Number of people not in extreme poverty (people);Prevalence of depressive disorders (everyone);Total général;;;
1850;Number of people not in extreme poverty (people); 164 148 670 ;;1820; 964 925 108 ; 117 436 202 ;; 1 082 361 310 ;;;
1850;Number of people living in extreme poverty (people); 1 098 533 404 ;;1850; 1 098 533 404 ; 164 148 670 ;; 1 262 682 074 ;;;
1870;Number of people not in extreme poverty (people); 244 873 758 ;;1870; 1 154 404 857 ; 244 873 758 ;; 1 399 278 615 ;;;
1870;Number of people living in extreme poverty (people); 1 154 404 857 ;;1890; 1 225 528 033 ; 331 686 749 ;; 1 557 214 782 ;;;
1890;Number of people not in extreme poverty (people); 331 686 749 ;;1910; 1 295 000 000 ; 455 000 000 ;; 1 750 000 000 ;;;
1890;Number of people living in extreme poverty (people); 1 225 528 033 ;;1929; 1 351 730 488 ; 693 247 557 ;; 2 044 978 045 ;;;
1910;Number of people not in extreme poverty (people); 455 000 000 ;;1950; 1 596 420 000 ; 923 580 000 ;; 2 520 000 000 ;;;
1910;Number of people living in extreme poverty (people); 1 295 000 000 ;;1960; 1 638 580 593 ; 1 387 422 349 ;; 3 026 002 942 ;;;
1929;Number of people not in extreme poverty (people); 693 247 557 ;;1970; 1 766 226 097 ; 1 924 946 519 ;; 3 691 172 616 ;;;
1929;Number of people living in extreme poverty (people); 1 351 730 488 ;;1980; 1 920 141 041 ; 2 519 491 424 ;; 4 439 632 465 ;;;
1950;Number of people not in extreme poverty (people); 923 580 000 ;;1981; 1 909 109 363 ; 2 609 492 679 ;; 4 518 602 042 ;;;
1950;Number of people living in extreme poverty (people); 1 596 420 000 ;;1984; 1 870 044 027 ; 2 895 613 535 ;; 4 765 657 562 ;;;
1960;Number of people not in extreme poverty (people); 1 387 422 349 ;;1987; 1 784 483 853 ; 3 249 321 091 ;; 5 033 804 944 ;;;
1960;Number of people living in extreme poverty (people); 1 638 580 593 ;;1990; 1 903 515 870 ; 3 406 151 829 ; 806 189 898 ; 6 115 857 597 ;;;
1970;Number of people not in extreme poverty (people); 1 924 946 519 ;;1991;;; 821 474 786 ; 821 474 786 ;;;
1970;Number of people living in extreme poverty (people); 1 766 226 097 ;;1992;;; 836 687 793 ; 836 687 793 ;;;
1980;Number of people not in extreme poverty (people); 2 519 491 424 ;;1993; 1 886 574 370 ; 3 683 471 010 ; 851 476 617 ; 6 421 521 997 ;;;
1980;Number of people living in extreme poverty (people); 1 920 141 041 ;;1994;;; 866 163 156 ; 866 163 156 ;;;
1981;Number of people not in extreme poverty (people); 2 609 492 679 ;;1995;;; 880 715 784 ; 880 715 784 ;;;
1981;Number of people living in extreme poverty (people); 1 909 109 363 ;;1996; 1 709 725 338 ; 4 105 666 967 ; 895 540 270 ; 6 710 932 575 ;;;
1984;Number of people not in extreme poverty (people); 2 895 613 535 ;;1997;;; 910 893 998 ; 910 893 998 ;;;
